№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
4666,попона вет забота для кошек №1 до 4- кг,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,300.0
4668,"попона вет забота для кошек №1,5 от 3-5кг",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,0.0
4670,попона вет забота для кошек №2 4-8 кг,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,0.0
4684,попона Ветзабота №6 д/собак,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,0.0
4978,Попона д/кошек (4-8) кг Ветпродакс,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,200.0
4980,попона д/кошек до 4кг Ветпродакс,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,200.0
2688,Попона д/кошек №2,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,200.0
2690,Попона д/собак №1,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,260.0
2696,Попона д/собак №4,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,300.0
2698,Попона д/собак №5,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,450.0
3004,попона послеоперационная №0,Товар с учетом,товары,,,шт.,200.0
3184,"попона послеоперационная 0,5",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,200.0
4682,попона № 5 ветзабота д/собак,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,0.0
4676,попона №2 ветзабота д/собак,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,0.0
4678,попона №3 ветзабота для собак,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,0.0
4680,попона №4 ветзабота,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,0.0
4686,попона №7 д/собак,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,0.0
3424,Посев из НСП 12 аб- 1 ухо,Услуга,Лаборатория,,,единица,2200.0
3444,Посев из НСП 12 аб- 2 уха,Услуга,Лабораторные анализы,,,единица,2500.0
3446,Посев из НСП 24 аб- 1ухо,Услуга,Лабораторные анализы,,,единица,2700.0
3448,Посев из НСП 24 аб- 2 уха,Услуга,Лабораторные анализы,,,единица,3200.0
4104,Посев мочи ( 12 АБ+БФ+АМ),Услуга,Манипуляции,,,единица,2300.0
3450,посев мочи ( 24 аб+бф),Услуга,Лабораторные анализы,,,единица,2500.0
3426,Посев на грибы-дерматофиты без АМ,Услуга,Лаборатория,,,единица,1200.0
3428,Посев на грибы-дерматофиты с АМ,Услуга,Лаборатория,,,единица,1500.0
