№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
3096,воротник защитный пластиковый 20 см,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт.,670.0
3000,воротник защитный пластиковый 25 см,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,500.0
4828,воротник защитный пластиковый рифленый 12.5,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,250.0
2226,"Воротник №12,5",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,360.0
2228,Воротник №15,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,360.0
2232,Воротник №25,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,670.0
2894,Воротник №30,Товар с учетом,н/д,,"Товары (НДС 5%, УСН доход)",шт,700.0
2234,Воротник №35,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1080.0
2238,"Воротник №7,5",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,190.0
4496,Вправление глазного яблока (1 глаз),Услуга,Хирургия,,,единица,3900.0
4498,Вправление железы третьего века,Услуга,Хирургия,,,единица,500.0
3870,ВС7 Электролиты крови,Услуга,Манипуляции,,,единица,1600.0
3872,"Выезд Ассистента 10-20 км от Звенигорода (без стоимости материалов, манипуляций)",Услуга,Манипуляции,,,единица,3500.0
2240,Выкручиватель клещей,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,260.0
3884,Выписка из истории болезни,Услуга,Манипуляции,,,единица,2000.0
3886,Выстригание колтунов,Услуга,Манипуляции,,,единица,1000.0
2244,Габитабс д/кошек 10 таблеток,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,450.0
4858,Габитабс для кошек 2 таб,Товар,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",упак,200.0
4940,габитабс для собак 10 табл,Товар,товары,,"Товары (НДС 5%, УСН доход)",шт,580.0
4924,Габитабс для собак 2 таб,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",упак,220.0
4500,Гастропексия,Услуга,Хирургия,,,единица,3000.0
4502,Гастроскопия,Услуга,Хирургия,,,единица,12100.0
4504,Гастроскопия с извлечением иногодного тела,Услуга,Хирургия,,,единица,15300.0
4506,Гастротомия,Услуга,Хирургия,,,единица,12000.0
3888,Гемобартонеллез кошек c дифференц,Услуга,Манипуляции,,,единица,1600.0
3890,Герпесвирус собак,Услуга,Манипуляции,,,единица,3700.0
3892,Гист. исследование образца (CITO) 2 стекла ZE100,Услуга,Манипуляции,,,единица,3300.0
3894,Гист. исследование образца (CITO) 3-4 стекла ZE101,Услуга,Манипуляции,,,единица,3700.0
3896,Глюкоза крови экспресс,Услуга,Манипуляции,,,единица,200.0
3898,Глюкоза крови экспресс в стационаре,Услуга,Манипуляции,,,единица,1000.0
3900,Гостиница 1 сутки кошка или собака до 5 кг,Услуга,Манипуляции,,,единица,1000.0
3902,Гостиница 1 сутки собака от 10 до 15 кг,Услуга,Манипуляции,,,единица,1700.0
3904,Гостиница 1 сутки собака от 5 до 10 кг,Услуга,Манипуляции,,,единица,1300.0
3906,Груминг кошки,Услуга,Манипуляции,,"Товары (НДС 5%, УСН доход)",единица,3000.0
3908,Груминг собаки,Услуга,Манипуляции,,"Товары (НДС 5%, УСН доход)",единица,2500.0
3910,Группы крови кошек,Услуга,Манипуляции,,,единица,3700.0
4508,Грыжесечение паховая грыжа,Услуга,Хирургия,,,единица,9000.0
4510,Грыжесечение промежностная грыжа,Услуга,Хирургия,,,единица,12000.0
4512,Грыжесечение пупочная грыжа,Услуга,Хирургия,,,единица,3500.0
4844,Дезацид,Товар,товары,,"Товары (НДС 5%, УСН доход)",шт,380.0
4734,"дезиптол, флакон № 1",Не для продажи,Препараты,Лечение,"Товары (НДС 5%, УСН доход)",,
2256,ДЕЛИКАТЕС СТЕЙК ПО СКАНДИНАВСКИ,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,250.0
4454,Дентальный рентген I категории,Услуга,Стоматология,,,единица,4000.0
4456,Дентальный рентген II категории,Услуга,Стоматология,,,единица,6500.0
3422,Дерматофиты ПЦР,Услуга,Лаборатория,,,единица,1400.0
3104,Дехинел плюс со вкусом мяса -2 таблетки,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,450.0
3912,Дирофиляриоз,Услуга,Манипуляции,,,единица,1500.0
3914,Дирофиляриоз анаплазмоз боррелиоз эрлихиоз SNAP 4 Dx,Услуга,Манипуляции,,,единица,2000.0
3916,Дирофиляриоз микроскопия,Услуга,Манипуляции,,,единица,500.0
3918,Дирофиляриоз собак canine heatworm SNAP idexx,Услуга,Манипуляции,,,единица,1500.0
2936,докситрон 20 мг,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",упак,400.0
2268,"Докситрон,100мг",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,750.0
4514,Дренирование плевральной полости,Услуга,Хирургия,,,единица,2500.0
4516,Дренирование полости раны 1 категории (одна полость),Услуга,Хирургия,,,единица,500.0
4518,Дренирование полости раны 2 категории (одна полость),Услуга,Хирургия,,,единица,1200.0
4520,Дренирование полости раны 3 категории (одна полость),Услуга,Хирургия,,,единица,1700.0
3920,Желчные кислоты 1 проба,Услуга,Манипуляции,,,единица,1000.0
3922,Желчные кислоты 2 пробы,Услуга,Манипуляции,,,единица,2000.0
4838,Зубная паста тамачи,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,600.0
3282,"зубная паста Экопром Клини,75 мл",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,500.0
4840,зубная паста эксмайл,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,1350.0
3302,зубная щетка д/собак- беафар,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,550.0
4644,игр для собак клубника с пищалкой,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,500.0
3358,игр Кранч для кошек леденец с кошачьей мятой- зеленый,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,450.0
3366,игр кранч для собак Слон с канатиками с пищ оранж,Товар с учетом,товары,,,шт,750.0
3368,игр Кранч для собак слон с пищалкой розовая,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,750.0
3364,игр Кранч для собак- Фламинго с канатом и пищ,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,700.0
4642,игр резиновая для собак - ветка с щеткой и пищалкой,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,450.0
4646,игр резиновая для собак горох с пищ,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,450.0
4648,игр резиновая для собак кольцо с щеткой и пищ,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,500.0
2288,игрушка для собак штурвал из каната,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,900.0
4852,игрушка для кошек,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,220.0
4856,игрушка для кошек скат и питахайя,Товар с учетом,товары,,,шт,250.0
2998,Игрушка для собак Aromadog рыжий,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт.,650.0
2326,Игрушка для собак Птерозавр плюшевая с пищалкой голубая,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1000.0
3044,игрушка для собак AROMADOG фиолетовый,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,650.0
2340,"Игрушка для собак Зебра плюшевая с канатиками, пищалкой и карманом",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1000.0
2342,игрушка для собак из каната на кольцевом шнуре розовая с голубым,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,350.0
2996,Игрушка для собак Ослик плюшевая с канатиками,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт.,700.0
3042,Игрушка для собак палочка синтетическая резина с канатом 25 см,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,500.0
