Категория,Название товара,Цена
Вакцинации,Астерион DHPPi+L+щелково,2600
Вакцинации,Астерион DHPPl+L,2500
Вакцинации,Вакцинация,500
Вакцинации,Вакцинация Астерион DhppiLR,3000
Вакцинации,Вакцинация бешенство,1500
Вакцинации,Вакцинация Биокан Dhppi+L,4000
Вакцинации,Вакцинация Биокан Dhppi+LR,4000
Вакцинации,Вакцинация Биокан Puppy,1500
Вакцинации,Вакцинация Биокан R,2000
Вакцинации,Вакцинация Биофел PCHR (кошки),4000
Вакцинации,вакцинация дипентовак,3000
Вакцинации,Вакцинация Мультикан - 4 + рабикс,3000
Вакцинации,Вакцинация Мультикан - 4 + щелково,3000
Вакцинации,Вакцинация Мультикан - 6,3000
Вакцинации,Вакцинация Мультикан - 6 + рабикс,3000
Вакцинации,Вакцинация Мультикан - 8,3000
Вакцинации,Вакцинация Мультифел-4 (кошка),3000
Вакцинации,Вакцинация Мультифел4 +  Рабифел (кошка),3000
Вакцинации,Вакцинация Мультифел4 +  Щелково (кошка),3000
Вакцинации,Вакцинация Рабикс (собаки),1500
Вакцинации,Вакцинация Рабифел (кошка),1500
Вакцинации,Вакцинация Фелоцел,1000
Вакцинации,Вакцинация Фелоцел + Щелково,2600
Вакцинации,вакцинация Щелково,2000
Вакцинации,Вангард,2800
Вакцинации,Вангард + Щелково,2900
Лаборатория,Дерматофиты ПЦР,1400
Лаборатория,Посев из НСП 12 аб- 1 ухо,2200
Лаборатория,Посев на грибы-дерматофиты без АМ,1200
Лаборатория,Посев на грибы-дерматофиты с АМ,1500
Лаборатория,Экспресс посев на дерматофиты,1800
Лабораторные анализы,Анализ ИФА,1
Лабораторные анализы,Анализ кала,1000
Лабораторные анализы,Анализ мочи,800
Лабораторные анализы,Анализ мочи расширенный( неовет),1100
Лабораторные анализы,БАК (общий),1
Лабораторные анализы,БАК (Печеночный),1
Лабораторные анализы,БАК (Почечный),1
Лабораторные анализы,Копрограмма,2000
Лабораторные анализы,ОАК,1000
Лабораторные анализы,Общий анализ помета птиц,1000
Лабораторные анализы,Посев из НСП 12 аб- 2 уха,2500
Лабораторные анализы,Посев из НСП 24 аб- 1ухо,2700
Лабораторные анализы,Посев из НСП 24 аб- 2 уха,3200
Лабораторные анализы,посев мочи ( 24 аб+бф),2500
Лабораторные анализы,Посев опер. материалла,2200
Лабораторные анализы,Расширенный анализ крови,1100
Лабораторные анализы,Соскоб кожи,500
Лабораторные анализы,Цитологическое исследование,1000
Лабораторные анализы,Цитология Влагалища,1
Лабораторные анализы,Экспресс тест на кровепаразиты,1500
Манипуляции,006 Вир.иммунодефицит кошек (ИХ) экспресс,1800
Манипуляции,022 Сальмонеллез,1500
Манипуляции,024 Туберкулез животных,750
Манипуляции,027 Цитомегаловирус ПЦР,1000
Манипуляции,"028 Чума, ПЦР",1000
Манипуляции,030 Парвовирусная инфекция собак,1700
Манипуляции,031 Чума плотоядных экспресс,1500
Манипуляции,034 Листериоз ПЦР,1000
Манипуляции,037 Контроль вакцинации у собак,3200
Манипуляции,041 Антитела к Бруцеллезу ИФА,1400
Манипуляции,044 Токсоплазмоз комплекс ИФА (AT IgG}+AT IgM),1500
Манипуляции,050 Кампилобактериоз,1500
Манипуляции,054 Ротавирусная инфекция ПЦР,1000
Манипуляции,060 ПЦР РНК лейкоз,1000
Манипуляции,061 Орнитоз ПЦР,1000
Манипуляции,062 Лейкемия кошек (ПЦР real time),1500
Манипуляции,063 Иммунодефицит кошек (ПЦР real time),1500
Манипуляции,064 Лейшманиоз,1800
Манипуляции,065 Парвовирус/Коронавирус собак,1600
Манипуляции,067 Йерсиниоз ПЦР,1000
Манипуляции,068 Бактериальные кишечные инфекции ПЦР,1500
Манипуляции,069 Особо опасные вирусы кошек ПЦР,2200
